Pattern,Distance (cm),Magnetic Field (T),Pressure (Pa),Version,Element,Mean Charge State,Average Potential Energy (eV),Average Kinetic Energy (eV),Avg Energy (≤60 eV) Al+,Avg Energy (≤60 eV) Al++,Avg Energy (≤60 eV) Al+++,Kinetic Energy Al+,Kinetic Energy Al++,Kinetic Energy Al+++,Avg Energy (≤60 eV) Ti+,Avg Energy (≤60 eV) Ti++,Avg Energy (≤60 eV) Ti+++,Avg Energy (≤60 eV) Ti++++,Kinetic Energy Ti+,Kinetic Energy Ti++,Kinetic Energy Ti+++,Kinetic Energy Ti++++,Avg Energy (≤60 eV) N+,Kinetic Energy N+,Avg Energy (≤60 eV) N₂+,Kinetic Energy N₂+
10cm-0.15t-n-0.3v3,10,0.15,0.3,3,N,1,11.62728,50.4589003810561,,,,,,,,,,,,,,,29.0912859070754,50.4589003810561,,
10cm-0.15t-n-0.3v3,10,0.15,0.3,3,N₂,1,12.464,58.2012624708078,,,,,,,,,,,,,,,,,23.372298026897,58.2012624708078
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,Al,1.49079192082228,15.5740959007399,66.3653541170063,17.9887691435054,26.0788788235023,10.7865168539326,27.4053160161744,106.89882604646,34.8461538461539,,,,,,,,,,,,
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,Ti,1.64836683586861,18.661610655817,50.3297095426661,,,,,,,25.3137451029424,17.3072743207713,25.9434661723818,24.8578811369509,42.8293705418596,52.5626362354148,70.6430545957153,113.752508361204,,,,
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,N,1,11.62728,46.495964573959,,,,,,,,,,,,,,,27.4001899134839,46.495964573959,,
10cm-0.15t-n-0.3v4,10,0.15,0.3,4,N₂,1,12.464,55.9103275036732,,,,,,,,,,,,,,,,,22.1657331212687,55.9103275036732
10cm-0t-n-0.3v2,10,0,0.3,2,Al,1.08857997142775,9.52190370629697,23.4704882015516,11.2282498505368,14.5806694245957,0,17.2746175159619,89.2307059065651,9.41860465116279,,,,,,,,,,,,
10cm-0t-n-0.3v2,10,0,0.3,2,Ti,1.95485492913404,22.7735823648872,31.6297120756156,,,,,,,14.66880486158,11.7848420627712,18.1321100917431,18.6491228070175,20.3344860106885,28.3129804718565,48.780694980695,119.173469387755,,,,
10cm-0t-n-0.3v2,10,0,0.3,2,N,1,11.62728,50.2020256649786,,,,,,,,,,,,,,,30.5860757642241,50.2020256649786,,
10cm-0t-n-0.3v2,10,0,0.3,2,N₂,1,12.464,41.6501924970902,,,,,,,,,,,,,,,,,15.3552545904415,41.6501924970902
14cm-0.25t-n-0,14,0.25,0,,Al,1.93617534168552,22.9139263065547,21.6735145235186,16.9663643504963,14.8415524042598,25.4660404624277,17.2199530349392,17.4523941699594,69.1090396365345,,,,,,,,,,,,
14cm-0.25t-n-0,14,0.25,0,,Ti,2.72953241429162,37.4575713817727,73.5973898429641,,,,,,,25.79324055666,27.1284610754414,25.8768422201775,22.2464898595944,27.6660231660232,31.4590583786113,89.0666344392428,142.368235670829,,,,
14cm-0.25t-n-0,14,0.25,0,,N,1,11.62728,18.2967479674797,,,,,,,,,,,,,,,16.4854166666667,18.2967479674797,,
14cm-0.25t-n-0,14,0.25,0,,N₂,1,12.464,10.5316552250191,,,,,,,,,,,,,,,,,8.13450445726272,10.5316552250191
