Distance (cm),Pressure (Pa),Magnetic Field (T),Mass (g/cm²s),Mass std (g),mean,std,Ion Current (A),Ion Current Std (A),,Notes
10,0,0,1.067336875E-08,8.46657105383665E-11,0.815291731440469,0.363750072766159,0.00203822932860117,0.0009093751819154,,The Mass std here is the resolution limit
10,0,0.05,4.91296302594673E-09,8.46657105383665E-11,0.394709833761375,0.601903988198581,0.000986774584403436,0.00150475997049645,,The Ion current std is the deviation within a pulse between 0-1ms
10,0,0.1,1.57548776010151E-08,8.46657105383665E-11,1.42687559879701,1.2964036754361,0.00356718899699252,0.00324100918859025,,Ion current and Mass is mostly computed with ion current and mass csv generator.py
10,0,0.15,2.38874894443315E-08,8.46657105383665E-11,2.1560804331178,1.4519845828951,0.0053902010827945,0.00362996145723776,,the script should be usable for future measurements of QCM and ion probe
10,0,0.2,3.1849593955925E-08,8.46657105383665E-11,2.82675718549889,1.31778347367569,0.00706689296374722,0.00329445868418922,,"ion current corrected, from original mistake of 1.4"
10,0,0.25,3.87957099421532E-08,8.46657105383665E-11,3.38674163953087,1.1269209615373,0.00846685409882714,0.00281730240384326,,Mass/ 64*1.54 to get mass per pulse per area
10,0.025,0,1.11782255915488E-08,8.46657105383665E-11,0.804889663369852,0.436935111997593,0.00201222415842463,0.00109233777999399,,the real area is 0.5 cm² not 1.54 cm² (diameter vs radius mistake)
10,0.025,0.05,6.26526256560213E-09,8.46657105383665E-11,0.520638383716707,0.724120075760809,0.00130159595929176,0.00181030018940202,,correction factor 3.08  applied to massflux and mass std
10,0.025,0.1,1.77833269110458E-08,8.46657105383665E-11,1.64345834341547,1.30102580289635,0.00410864585853868,0.00325256450724089,,
10,0.025,0.15,2.42179208988197E-08,8.46657105383665E-11,2.30376917639338,1.46044063433722,0.00575942294098344,0.00365110158584304,,
10,0.025,0.2,3.16696793215101E-08,8.46657105383665E-11,2.99940990992922,1.32310057544341,0.00749852477482307,0.00330775143860852,,
10,0.025,0.25,4.13239221266536E-08,8.46657105383665E-11,3.82111711060606,1.28668748689063,0.00955279277651514,0.00321671871722656,,
10,0.05,0,8.30076735155662E-09,8.46657105383665E-11,0.688486813236848,0.401335830239537,0.00172121703309212,0.00100333957559884,,
10,0.05,0.05,5.25044995416853E-09,8.46657105383665E-11,0.469855863557023,0.66142640499349,0.00117463965889256,0.00165356601248372,,
10,0.05,0.1,1.74481918084969E-08,8.46657105383665E-11,1.42182487410606,1.20421842205458,0.00355456218526514,0.00301054605513644,,
10,0.05,0.15,2.5239788985082E-08,8.46657105383665E-11,2.03331114802975,1.26841682541372,0.00508327787007437,0.0031710420635343,,
10,0.05,0.2,3.54032019651972E-08,8.46657105383665E-11,2.62836421092694,1.18399360508822,0.00657091052731734,0.00295998401272055,,
10,0.05,0.25,4.18413236903856E-08,8.46657105383665E-11,3.22052915375261,1.14024117778218,0.0080513228843815,0.00285060294445546,,
10,0.075,0,8.63707836803713E-09,8.46657105383665E-11,0.733792489826382,0.370491916378234,0.00183448122456596,0.000926229790945586,,
10,0.075,0.05,6.09710705845703E-09,8.46657105383665E-11,0.526161639705289,0.658577125681895,0.00131540409926322,0.00164644281420474,,
10,0.075,0.1,1.84618285059989E-08,8.46657105383665E-11,1.51742239024242,1.17665951746761,0.00379355597560606,0.00294164879366903,,
10,0.075,0.15,2.37111025484261E-08,8.46657105383665E-11,2.06850239068687,1.25465469168537,0.00517125597671717,0.00313663672921343,,
10,0.075,0.2,3.40426710367815E-08,8.46657105383665E-11,2.76563194502829,1.2141086211009,0.00691407986257074,0.00303527155275226,,
10,0.075,0.25,4.14956053734034E-08,8.46657105383665E-11,3.41819043531377,1.16412403412389,0.00854547608828443,0.00291031008530974,,
10,0.1,0,7.79277309051675E-09,8.46657105383665E-11,0.551695466735434,0.307334159830489,0.00137923866683859,0.000768335399576222,,
10,0.1,0.05,5.59028870806335E-09,8.46657105383665E-11,1.80652865479023,1.13718742176489,0.00116308122839545,0.00284296855441221,,
10,0.1,0.1,1.5584370268197E-08,8.46657105383665E-11,0.46523249135818,0.638430557848327,0.00305679434701914,0.00265126406379941,,
10,0.1,0.15,2.25304862544253E-08,8.46657105383665E-11,1.22271773880766,1.06050562551976,0.00451632163697556,0.00159607639462081,,
10,0.1,0.2,3.04925907649236E-08,8.46657105383665E-11,2.2846734931041,1.06519686186872,0.00571168373276025,0.0026629921546718,,
10,0.1,0.25,3.67602051561988E-08,8.46657105383665E-11,2.73649305906067,1.0022295604484,0.00684123264765167,0.002505573901121,,
10,0.2,0,6.4369458112567E-09,8.46657105383665E-11,0.610915685976813,0.322248952675288,0.00152728921494203,0.000805622381688222,,
10,0.2,0.05,5.08111853309177E-09,8.46657105383665E-11,0.461914452156348,0.617751008552693,0.00115478613039087,0.00154437752138174,,
10,0.2,0.1,1.42285429900321E-08,8.46657105383665E-11,1.27943356954093,0.992768110595716,0.00319858392385234,0.00248192027648929,,
10,0.2,0.15,2.13428144845006E-08,8.46657105383665E-11,1.71951867872699,1.01375869771366,0.00429879669681746,0.00253439674428414,,
10,0.2,0.2,2.99810687653742E-08,8.46657105383665E-11,2.15013211591254,0.911681413336282,0.00537533028978134,0.00227920353334071,,
10,0.2,0.25,3.52338705452155E-08,8.46657105383665E-11,2.58374772660967,0.869709866389081,0.00645936931652419,0.0021742746659727,,
10,0.3,0,6.77560865341018E-09,8.46657105383665E-11,0.361984590262701,0.224672998871366,0.00090496147565675,0.000561682497178415,,
10,0.3,0.05,4.57312427205191E-09,8.46657105383665E-11,0.455737032915526,0.55441353535377,0.00113934258228881,0.00138603383838443,,
