Pattern,Distance (cm),Magnetic Field (T),Pressure (Pa),Version,Element,Mean Charge State,Std Charge State,Average Potential Energy (eV),Std Potential Energy (eV),Average Kinetic Energy (eV),Std Kinetic Energy (eV),Kinetic Energy Al+,Std Kinetic Energy Al+,Kinetic Energy Al++,Std Kinetic Energy Al++,Kinetic Energy Al+++,Std Kinetic Energy Al+++,Kinetic Energy Ti+,Std Kinetic Energy Ti+,Kinetic Energy Ti++,Std Kinetic Energy Ti++,Kinetic Energy Ti+++,Std Kinetic Energy Ti+++,Kinetic Energy Ti++++,Std Kinetic Energy Ti++++,Kinetic Energy N+,Std Kinetic Energy N+,Kinetic Energy N₂+,Std Kinetic Energy N₂+
10cm-0.25t-n-0.2,10,0.25,0.2,,Ti,1.83279366306803,0.628551014705841,20.8223750731455,11.9140170364713,21.2839777246742,3.43884367047067,,,,,,,19.658830182582,10.4454520283862,20.7287787337871,8.8106385013114,28.1489082969432,11.2848823067492,39.102402022756,6.45304987098088,,,,
10cm-0.25t-n-0.2,10,0.25,0.2,,N,1,0,11.62728,0,14.0921621621622,0,,,,,,,,,,,,,,,14.0921621621622,10.8387639255204,,
10cm-0.25t-n-0.2,10,0.25,0.2,,N₂,1,0,12.464,1.77635683940025E-15,14.2158961399336,0,,,,,,,,,,,,,,,,,14.2158961399336,10.8056109458605
10cm-0t-n-0.3v2,10,0,0.3,2,Al,1.08857997142775,0.288234645091425,9.52190370629697,4.40893915792108,11.1539767778674,0.947555962754258,10.9003871507795,10.7619551485593,13.9893414541302,12.4141160973153,0,0,,,,,,,,,,,,
10cm-0t-n-0.3v2,10,0,0.3,2,Ti,1.95485492913404,0.639364782439056,22.7735823648872,13.1771236471264,12.6244537494991,2.09872528739489,,,,,,,14.1984316399591,11.8071576294747,11.3988815455008,12.7618130635398,17.8003696857671,14.2758304286984,17.7360178970917,18.7290136161314,,,,
10cm-0t-n-0.3v2,10,0,0.3,2,N,1,0,11.62728,0,27.7039159503343,0,,,,,,,,,,,,,,,27.7039159503343,18.4107174833943,,
10cm-0t-n-0.3v2,10,0,0.3,2,N₂,1,0,12.464,0,14.285086551265,0,,,,,,,,,,,,,,,,,14.285086551265,14.5984541695452
10cm-0.25t-n-0,10,0.25,0,,Al,2.06724254620797,0.511982472479904,25.5389795095214,10.1886707497987,22.9359062715202,1.28411376506457,22.4900647948164,8.42513778214158,22.3438899925986,12.9624212608621,25.8027657122596,16.5639203265027,,,,,,,,,,,,
10cm-0.25t-n-0,10,0.25,0,,Ti,2.7466033104966,0.500115347055521,37.9723681285728,11.8807243113894,27.8994900535558,1.89674323079638,,,,,,,28.5838433292534,10.8127778535667,30.9577971073469,10.1896092007033,26.6794805463576,13.8945044097687,28.3588317107093,15.3995204944331,,,,
10cm-0.25t-n-0,10,0.25,0,,N,1,0,11.62728,0,17.0729927007299,0,,,,,,,,,,,,,,,17.0729927007299,8.58077552217692,,
10cm-0.25t-n-0,10,0.25,0,,N₂,1,0,12.464,0,10.7999728960564,0,,,,,,,,,,,,,,,,,10.7999728960564,9.00853189120625
20cm-0.25t-n-0,20,0.25,0,,Al,1.8630926573741,0.468835851335993,21.5702991003084,8.13160983649446,13.62806586733,2.5021269507373,15.5742833353158,6.74690154012822,12.5130585217443,8.02427077826843,23.1448752158217,12.5465154314009,,,,,,,,,,,,
20cm-0.25t-n-0,20,0.25,0,,Ti,2.44728244605709,0.536463835451855,31.254073547118,12.1138474209295,29.1308063169099,1.61598079119971,,,,,,,34.7668965517241,12.4677573415282,27.8542221493834,8.65421591147734,30.7830755723644,14.6542195189241,24.3168316831683,15.2452900795535,,,,
20cm-0.25t-n-0,20,0.25,0,,N,1,0,11.62728,0,19.1701846965699,0,,,,,,,,,,,,,,,19.1701846965699,6.63355249465898,,
